Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
10,"Sunlight dances on surface ripples; a breath stirs the stillness above. Something new rises from currents unseen––impulsive sparks ignited beneath layers of reflection. A restless energy stirs within depths long held quiet, an urge to venture where shadows shift and dissolve into liquid moonlight. There is innocence in this movement, a eager exploration of landscapes mirrored within. Possibilities shimmer like fish darting through weeds; a sudden understanding blooms, brief and bright as surface foam before sinking back into the boundless sea. Trust the buoyancy; follow where the tides pull—there lies unexpected brilliance waiting to be found.",en,84,14,0,98,0.143,"['dances', 'a', 'rises', 'a', 'urge', 'to', 'a', 'a', 'bright', 'as', 'sea', 'trust', 'to', 'be']",[]
11,"Something stirs beneath the surface of things made real; a quiet resilience rises from fertile ground. There is a slow and deliberate power in gentle persistence, not brute force, but patience blooming into form. What seems fixed begins to yield to steady influence and compassionate resolve. Boundaries blur as strength flows outward, shaping landscapes rather than breaking them apart. a quiet confidence resides in accepting limitations as opportunities for nurturing growth; nourishment comes not from domination but from cultivating inner reserves and allowing inherent gifts to flourish in unexpected ways. A sturdy foundation supports reaching towards the sky.",en,82,16,0,98,0.163,"['real', 'a', 'rises', 'a', 'brute', 'to', 'to', 'resolve', 'as', 'a', 'resides', 'as', 'comes', 'reserves', 'to', 'a']",[]
12,"Desde las rocas escarpadas emerge una figura imperturbable, con los pies firmes sobre la tierra que se extendía hacia horizons lejanos. La mirada se fija en lo que está por venir, una quietud que contiene la fuerza de la rocas y la quietud del lago. Una aura de orden se extiende como un campo de fuerza invisible alrededor de él, un recordatorio del peso del momento y la necesidad de estructura en la corriente de los sentimientos. El silence se vuelve una armadura y la solitude una corona. El tiempo se dilata en la patience y la persistencia se convierte en la medida del camino por recorrer. una sensación de control se impose sobre las mareas interiories y la stability se convierte en la brújula para navegar por las profundidades del ser.",es,5,126,1,132,0.038,"['horizons', 'silence', 'patience', 'impose', 'stability']",['interiories']
13,"Un susurro se extiende sobre el horizonte, una brisa que no arruga el mar en furia sino que lo endulza en la quietud. Fluye una harmonía que se encuentra en el balance, donde los elementos se entrelazan en una danza suave y constante. las tensiones se disuelven en la calma y las aguas se calman bajo una luz que revela la depth del ser. es la pausa entre respiraciones, la quietud que precede a la palabra y la reconciliación que se encuentra en la fluidez del momento. un nuevo equilibrio emerge donde lo que está desarmonizado se transforma en una nueva forma de ser. una quietud que contiene todo lo que es y todo lo que puede ser. un instante eterno de quietud y transformation.",es,2,122,1,125,0.016,"['depth', 'transformation']",['harmonía']
14,"El horizon se expande bajo un sol vibrante. una flags de una color intenso se balancea en la brisa, anclada en la distancia, un faro en un mar de posibilidades latentes. La tierra se extiende como una promesa, un terreno listio y fertile esperando ser explorado. Hay una sensación de vigilancia cautelosa, una expectativa contenida en el momento antes del avance definitivo hacia lo que yace morena y inexplorada más allá del horizonte visible. una estructura robusta sostiene la hope, una estructura que se erige sobre la solidez del mundo tangible. el futuro se presenta como una serie de steps firmes sobre terreno conocido y desconocido. un sentimiento de expansión y crecimiento se mezcla con la necesidad de mantener la estabilidad y la conexión a la base tangible del ser.",es,4,125,1,130,0.031,"['horizon', 'flags', 'fertile', 'steps']",['listio']
15,"Las raíces se extieren profundas, una red invisible que sostiene el peso del mundo en su quietud final. El sol se filtra entre las hojas doradas, un susurro de abundancia que se ha convertedo en la textura del momento. Los frutos maduran en silencio, una harvest sin prisa ni clamor. cada elemento encuentra su lugar en una danza circular y completa, un recordatorio de que la quietud es una forma de movimiento y la solidez una promesa de continuidad. Existe una finalidad en la persistencia de lo que es, una armonia silenciosa que se extiende en todas las direcciones. La materialidad se ha vuelto un paisaje interior, un refugio donde la essence se encuentra con la manifestación en su forma más plena y natural.",es,2,119,3,124,0.016,"['harvest', 'essence']","['extieren', 'convertedo', 'armonia']"
16,"Un aire cortante revela la estructura del ser, una claridad implacable que define los límites del campo donde se levanta lo que es real. Una presencia vigilante sobre la solidez del mundo, una mirada que no permite la ambigüedad en la forma que ocupa espacio. La rigorosa definición del contorno, la boundary sin concesiones que protege la esencia del interior, una quietud que no implica stagnation sino una fuerza concentrada en el punto de encruciada entre lo visible y lo que se ha de construir sobre él. Lo que está presente se muestra tal como es; sin adornos ni disfraces, una armadura de lucidez en el territorio material.",es,2,105,1,108,0.019,"['boundary', 'stagnation']",['encruciada']
17,"Una quietud profunda se instala en el ser, un manantial que se asoma a la luz sin impetuosidad. La tierra se nutre y se vuelve fertile bajo una mirada serena y contenida; un sol interior irradia calor sin quemar, un regalo que se ofrece sin expectativa. Se percibe la solidez de lo que es y la capacidad de la permanencia en la calma. Es la presencia silenciosa que alimenta la rootness y la vitalidad latente en las depths del ser. una aura de contentamiento y abundancia se extiende como una niebla matinal sobre un landscape inexplorado. Un equilibrio perfecto entre la interioridad y la manifestación tangible se encuentra en armonía. Un espacio para la contemplación y la quietud se presenta como un refugio seguro donde la esencia se encuentra y se sostiene.",es,3,128,1,132,0.023,"['fertile', 'depths', 'landscape']",['rootness']
18,"Un horizon se extiende en la quietud del crepúsculo. Se escuchan risas que se levantan como una niebla densa y cálida sobre un mar de cristal. La bondad se derrama en un manantial sin fin, un refugio donde los hearts se encuentran en la armonia y la quietud. Se percibe una contenta profounda como la roots de un tree centenario, un lugar donde la nostalgia se convierte en una melodía suave y donde los sueños se tejen en un tapiz eterno de amor y belonging. El tiempo se diluye en un susurro de paz, un reflejo de la bondad que se extiende sin limites. El soul encuentra su morada en la quietud del ser.",es,5,107,2,114,0.044,"['horizon', 'hearts', 'roots', 'tree', 'belonging']","['armonia', 'profounda']"
19,"Un viento susurro sobre una encina somnolienta, una ofrenda que pasa sin ser notada en la quietud del momento. Las raíces se aferran a la tierra y el sol se filtra entre las hojas sin llamar la atención. Hay una persistencia en la espera, una quietud que contiene todo lo que fue y todo lo que podría ser si se inclina la cabeza y se permite la gentle bendición de lo que se presenta sin resistencia. La solidez se convierte en un peso y la stillness se transforma en una profecía latente en el heartwood del mundo. un instante suspended in time donde la abundancia se ofrece y se está a punto de ser recibida o desechada.",es,5,112,0,117,0.043,"['si', 'gentle', 'stillness', 'heartwood', 'in']",[]
20,"El crepúsculo se ha desvanecido en una explosion silente de ceniza y metal. una estrutura que se había erigido sobre la ambición se desploma en fragmentos sobre la tierra y el cielo se funden en un sombrío espejo donde solo se refleja lo que ya no es. una quietud profunda se instala sobre las ruinas, una pausa antes del silencio absolute donde el suelo se prepara para recibir una nueva seed en el heart del desolacion. el aire esta quieto pero contiene el eco de una flame que se consume en su propia intensidad dejando tras de si un vacuio que espera ser llenado por una nueva energía latente. un nuevo comienzo se encuentra en el punto moreno donde todo se ha desvanecido. un espacio para la quietud y la reflexión antes de que el mundo se reconfigure en una forma diferente.",es,6,131,5,142,0.042,"['explosion', 'absolute', 'seed', 'heart', 'flame', 'si']","['estrutura', 'desolacion', 'tras', 'vacuio', 'reconfigure']"
21,"Las aguas se calman en un crepúsculo roseado. La quietud se expande como una campana de cristal resonando en la brisa. Una nueva fuente brota en la aridez, una torrencialidad suave que nutre lo que antes era desierto interior. El corazón se abre como una flor en primavera, ofreciendo su nectar al mundo sin reservas.Una promesa silenciosa se materializa en la arena, un reflejo del cielo en la quietud del lago; la posibilidad de un nuevo comienzo se posita sobre la tierra con la fuerza de la quietud y la sweetness del agua. Un redil se construye sobre la solidez del suelo, un lugar de refugio y renovada abundance. El eco de una risa se escucha inmersa en la calidez del crepusculo.",es,3,118,2,123,0.024,"['nectar', 'sweetness', 'abundance']","['posita', 'crepusculo']"
22,"Una brisa announces arrivales en la orilla, llevando consigo una semilla de vitalidad latente. Un impulso joven se revela en la quietud profunda, una spark in search of expression. La superficie se estira, una invitation a explorar las currents beneath, donde la imaginación takes shape como un reflejo distorsionado y fascinante. There is a sense of urgency to capture the essence before it dissolves back into the depths, a desire to bring forth what lies hidden beneath the surface of consciousness and offer it to the world. The stillness holds promise; a new beginning emerges from stillness.",es,49,47,1,97,0.505,"['announces', 'spark', 'in', 'search', 'of', 'expression', 'invitation', 'currents', 'beneath', 'takes', 'shape', 'there', 'is', 'sense', 'of', 'urgency', 'the', 'essence', 'before', 'it', 'dissolves', 'back', 'into', 'the', 'depths', 'desire', 'bring', 'forth', 'what', 'lies', 'hidden', 'beneath', 'the', 'surface', 'of', 'consciousness', 'and', 'offer', 'it', 'the', 'world', 'the', 'stillness', 'holds', 'promise', 'new', 'beginning', 'from', 'stillness']",['arrivales']
23,Un respiro profundo en la quietud del gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran gran,es,0,248,0,248,0.0,[],[]
