Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
10,"In the depths of the soul, a spark ignites, a flame that dances upon the waves of emotion, casting shadows and reflections of the innermost self. The tides of feeling ebb and flow, carrying secrets and truths long buried beneath the surface. As the seeker delves into this ocean of sensation, they may encounter turbulent currents, yet these are the very forces that shape the contours of the heart and mind. Through empathy and intuition, the path to self-discovery unfolds, revealing the hidden patterns and desires that guide the journey of the soul. In this realm of emotional resonance, the seeker finds connection not only with their own depths but also with the shared experiences of others, forging bonds of understanding and compassion.",en,114,10,0,124,0.081,"['soul', 'a', 'a', 'dances', 'casting', 'buried', 'as', 'are', 'to', 'soul']",[]
11,"In the depths of the earth, where ancient secrets slumber, a hidden force stirs, waiting to be unleashed. This primal power, dormant yet potent, yearns to break free from its confines, to rise up and assert its dominance over the world above. It is a force both gentle and fierce, capable of taming the wildest of beasts yet unyielding in its pursuit of what it desires. As it emerges from the shadows, it brings with it the promise of transformation, of turning the raw and unrefined into something strong and resilient. With each step forward, it leaves behind a trail of growth and renewal, a testament to its unbridled potential and the limitless possibilities that lie within.",en,100,16,1,117,0.137,"['a', 'to', 'be', 'primal', 'to', 'break', 'confines', 'to', 'rise', 'a', 'as', 'emerges', 'a', 'a', 'to', 'lie']",['taming']
12,"En el abismo de tus emociones, un poderoso monarca reina, firme y seguro en su dominio. Su presencia es un llamado a la introspección, a sumergirse en las profundidades de tu alma y explorar las corrientes que te impulsan. La empatía es su arma, una herramienta para conectar con los demás y comprender sus verdades más íntimas. Pero también es una fuerza que puede inundarte, si no sabes controlarla. La sabiduría reside en encontrar el equilibrio, en ser capaz de navegar las aguas turbulentas de tus sentimientos y mantener la calma en la tormenta. Solo entonces podrás descubrir la verdad que late en tu corazón y seguir el camino que te conduce a la auténtica conexión con el mundo y con ti mismo.",es,1,120,2,123,0.008,['si'],"['sumergirse', 'inundarte']"
13,"En el silencio de la noche, un susurro de sabiduría fluye como un río invisible, llevando consigo las semillas de la verdad. La mente, como un jardín en flor, recibe la lluvia de las ideas y las nutre con la luz de la conciencia. Con cada respiración, el alma se expande y se conecta con el vasto océano de la inteligencia universal. Las palabras, como flores delicadas, brotan de la boca y se dispersan en el aire, llevando consigo el aroma de la claridad y la comprensión. En este momento, la comunicación no es solo un intercambio de pensamientos, sino una danza entre el espíritu y la materia, donde la verdad se materializa en la realidad.",es,0,116,0,116,0.0,[],[]
14,"En el corazón de la tierra, donde las raíces se entrelazan con la oscuridad, un nuevo brote emerge, lleno de vida y esperanza. La energía de la materia se despierta, y con ella, la capacidad de crecer y transformarse. La solidez de la tierra es un reflejo de la fortaleza interior que nos permite enfrentar los desafíos y mantener nuestra conexión con la realidad tangible. En este momento, la manifestación física de nuestros sueños y emociones es posible, y la alineación entre nuestra espiritualidad y nuestras acciones diarias se vuelve crucial. La tierra nos recuerda que nuestra existencia es un proceso de crecimiento y evolución, y que la sostenibilidad y el equilibrio son fundamentales para nuestro bienestar y el del mundo que nos rodea.",es,0,123,1,124,0.0,[],['transformarse']
15,"En este momento, la manifestación física de tus aspiraciones y emociones se encuentra en un punto crítico de equilibrio. La Tierra te invita a reflexionar sobre cómo gestionas tus recursos y cómo interactúas con el mundo material. La alineación entre tus valores espirituales y tus prácticas diarias es crucial para encontrar la solidez y la estabilidad que buscas. Considera cómo puedes nutrir y sostener tu crecimiento personal de manera sostenible, y cómo puedes equilibrar tus necesidades materiales con tus aspiraciones más elevadas. La Tierra te ofrece un terreno fértil para la realización personal, pero solo si estás dispuesto a trabajar en armonía con ella.",es,1,103,0,104,0.01,['si'],[]
16,"En el corazón de la tierra, donde las raíces se entrelazan con la oscuridad, una figura de espada emerge, iluminando el camino hacia la manifestación. Con cada paso, la energía se intensifica, convirtiendo la intención en realidad tangible. La conexión con la materia es profunda, y la sabiduría de la tierra fluye a través de cada fibra, guiando hacia la armonía entre el espíritu y la carne. La estabilidad y la fuerza se combinan para crear un terreno fértil donde las semillas de la imaginación pueden germinar y crecer. La tierra es un reflejo de la propia alma, y en su corazón late un ritmo que invita a la reflexión y la acción.",es,0,113,0,113,0.0,[],[]
17,"En el abismo de tus emociones, un reflejo de oro brilla con intensidad, como un sol oculto bajo las olas. La profundidad de tus sentimientos es un mar insondable, donde la luz de la conciencia se funde con la oscuridad del subconsciente. En este espacio, la verdad se revela en susurros, y la sabiduría se encuentra en las corrientes más profundas. La empatía es tu nave, guiándote a través de las aguas turbulentas hacia la conexión con otros seres. La Reina de Oros te invita a sumergirte en este mundo emocional, a explorar las profundidades de tu alma y a encontrar la luz que ilumina el camino hacia la autenticidad y la comprensión.",es,0,111,2,113,0.0,[],"['guiándote', 'sumergirte']"
18,"La llama ardiente del corazón, que late con fuerza y pasión, llama a la acción. La voluntad se enciende como un fuego que consume lo viejo y obsoleto, dejando espacio para nuevas creaciones. La energía purificadora del Fuego transforma y renueva, permitiendo al individuo reinventarse y manifestar su verdadera esencia. La chispa divina dentro de cada ser humano llama a la acción, impulsando a buscar y alcanzar los deseos auténticos que motivan las acciones y decisiones. La fuerza interior debe ser reconocida y canalizada adecuadamente, alineándose con un propósito superior que fomenta el crecimiento personal y la transformación.",es,0,95,3,98,0.0,[],"['reinventarse', 'adecuadamente', 'alineándose']"
19,"En el corazón de la tierra, donde las raíces se entrelazan con la oscuridad, se encuentra el secreto de la manifestación. Allí, las semillas de nuestros deseos más profundos germinan, buscando la luz para crecer y florecer. La tierra nos recuerda que todo comienza en el interior, en el lugar donde las emociones y las creencias se convierten en acciones y formas tangibles. Es un lugar de crecimiento y transformación, donde la fertilidad y la abundancia pueden surgir de la más profunda conexión con nosotros mismos y con el mundo que nos rodea.",es,0,93,0,93,0.0,[],[]
20,"La llama ardiente del corazón, que brilla con la fuerza de un sol naciente, llama a la acción. La pasión y la determinación, como un torrente de fuego, impulsa hacia adelante, sin mirar atrás. La voluntad, como un rayo, ilumina el camino, revelando la verdad de lo que se desea. La energía interior, como un huracán, purifica y transforma, dejando espacio para nuevas creaciones. La chispa divina, que reside en el alma, se enciende, y la inspiración fluye libremente. La fuerza vital, como un torrente incesante, impulsa hacia la manifestación de los deseos auténticos, alineados con un propósito superior. La transformación personal, como un renacimiento, es posible cuando se reconoce y canaliza adecuadamente la fuerza interior.",es,0,115,1,116,0.0,[],['adecuadamente']
21,"En el umbral entre lo espiritual y lo material, un nuevo ciclo comienza. La tierra firme bajo tus pies, un refugio seguro donde plantar las semillas de tus sueños. La abundancia fluye como un río, nutriendo tus raíces y permitiendo que crezcas hacia el sol. Pero recuerda que la prosperidad no es solo una cuestión de recursos, sino también de equilibrio y respeto hacia el mundo que te rodea. La naturaleza te ofrece un ejemplo de cómo florecer sin agotar, cómo crecer sin destruir. Aprende de ella y encontrarás la verdadera riqueza en la armonía y la sostenibilidad.",es,0,98,0,98,0.0,[],[]
22,"En el abismo de tus emociones, un paje de bastos emerge, portador de un mensaje urgente. Su presencia te invita a sumergirte en las profundidades de tu alma, a explorar las corrientes ocultas que te impulsan y te guían. Allí, en el corazón del agua, encontrarás la sabiduría de tus sentimientos más profundos, la intuición que te conecta con el mundo y con los demás. El paje te llama a honrar tu sensibilidad emocional, a dejar que fluya sin resistencia, a permitir que tus emociones te guíen hacia la verdad y la conexión. En este viaje interior, no temas enfrentar las turbulencias, ya que son ellas mismas las que te llevarán a la luz y al equilibrio.",es,0,116,1,117,0.0,[],['sumergirte']
23,"En el corazón de la tierra, donde la materia se funde con el espíritu, se encuentra la fuerza que sostiene la vida. Es la energía que fluye a través de cada célula, la que hace crecer las plantas y hace latir los corazones. Es la fuerza que nos permite trabajar con nuestras manos, que nos permite crear y construir, que nos permite amar y cuidar. Es la fuerza que nos conecta con la naturaleza y con nosotros mismos, que nos permite sentir la riqueza y la abundancia que siempre ha estado presente en nuestro entorno. Esta fuerza es la que nos invita a reflexionar sobre cómo vivimos en armonía con la tierra y con nosotros mismos, a considerar cómo podemos cuidar y nutrir nuestra existencia y la existencia de los demás. Es la fuerza que nos permite encontrar la solidez y la estabilidad en un mundo que constantemente cambia, y que nos permite crecer y florecer en nuestra búsqueda de la verdad y la realización personal.",es,0,166,0,166,0.0,[],[]
