Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
11,"In the depths of the earth, a seed stirs, its potential unfolding like a flower in the darkness. The strength to break through the soil's resistance is born from the earth itself, a power that nurtures and sustains life. As the seedling pushes upward, it draws upon the ancient wisdom of the land, learning to bend yet remain unbroken. The earth's bounty is a mirror of the soul's, reflecting the richness of our inner world and the resilience of our spirit. In this dance between the material and the mystical, we find the strength to manifest our dreams, to shape the world around us with the gentle yet unyielding force of our deepest desires.",en,103,14,0,117,0.12,"['a', 'a', 'to', 'break', 'a', 'as', 'land', 'to', 'a', 'soul', 'dance', 'material', 'to', 'to']",[]
12,"En el abismo de tus emociones, un poderoso monarca reina, firme y seguro. Su presencia calma las aguas turbulentas, revelando secretos ocultos en las profundidades de tu alma. Con cada ola que rompe contra la orilla, una verdad más profunda emerge, iluminando el camino hacia la autenticidad y la conexión con tus sentimientos más íntimos. El monarca guía tu navegación a través de las emociones, enseñándote a honrar tu sensibilidad como una herramienta de autodescubrimiento y conexión con los demás. En este viaje interior, aprendes a reconocer las emociones dominantes y su impacto en tu vida, y a evaluar cómo influyen en tus decisiones y relaciones. Al sumergirte en este mundo emocional, descubres la sabiduría intuitiva que reside en tu corazón, y te sientes más completo y conectado con tu verdadero ser.",es,0,127,5,132,0.0,[],"['íntimos', 'enseñándote', 'autodescubrimiento', 'dominantes', 'sumergirte']"
13,"En el silencio de la noche, el aliento vital fluye como un río sin fin, llevando consigo las semillas de la sabiduría. Con cada respiración, el espíritu se nutre de la luz divina, y las ideas se materializan en la mente como flores que se abren al sol. La claridad mental es un puente que conecta el mundo interior con el exterior, permitiendo la comunicación fluida entre el yo y el universo. En este espacio de conexión, las palabras se vuelven instrumentos de creación, moldeando la realidad con cada sonido y cada gesto. La verdadera comunicación es un baile de energías, un intercambio de luz y vida que trasciende las fronteras del ego y abre las puertas a la comprensión profunda.",es,0,121,0,121,0.0,[],[]
14,"En el corazón de la tierra, donde las raíces se entrelazan con la oscuridad, se encuentra la fuente de la vida. Allí, en el abismo de la materia, se gesta la creación, y las semillas de la esperanza germinan en la sombra. La tierra es un lugar de transformación, donde las ideas se vuelven realidad y las emociones se materializan en formas tangibles. Es un lugar de crecimiento y renovación, donde la energía se almacena y se libera en ciclos eternos. En este espacio, la vida se nutre y se sostiene, y las formas se cambian constantemente. La tierra es un reflejo de nuestra propia naturaleza, un lugar donde la espiritualidad y la materialidad se entrelazan en un baile eterno de creación y destrucción.",es,0,124,0,124,0.0,[],[]
15,"En el corazón de la tierra, donde las raíces se entrelazan con la oscuridad, se encuentra el oro puro. Un tesoro oculto, esperando ser descubierto por aquellos que saben mirar más allá de la superficie. La riqueza no se mide en monedas o joyas, sino en la conexión profunda con la naturaleza y con uno mismo. La sabiduría se encuentra en la quietud de la tierra, en la paciencia de las montañas y en la constancia del sol. Cuando se cultiva la armonía con el mundo material, se abre la puerta a una abundancia que trasciende las limitaciones del plano físico. La manifestación de los sueños se vuelve posible cuando se alinea la intención con la acción, y la tierra se convierte en un campo fértil para la creación y el crecimiento.",es,0,132,0,132,0.0,[],[]
16,"En el corazón de la tierra, donde las raíces se entrelazan con la oscuridad, una figura de espada emerge, iluminando el camino hacia la luz. Su presencia es firme y segura, como un árbol que se mantiene erguido ante el viento. Con cada paso, la tierra se abre, revelando secretos y recursos ocultos. La espada de esta figura no es una herramienta de destrucción, sino un instrumento de creación y manifestación. Su poder es la capacidad de transformar la energía interna en formas tangibles, de dar forma a los sueños y deseos más profundos. En este momento, la tierra y la espada se unen en perfecta armonía, invitando al consultante a explorar la relación entre su alma y su cuerpo, entre su espiritualidad y su materialidad. La respuesta está en equilibrar ambos aspectos, en encontrar la conexión entre lo interior y lo exterior, y en utilizar la energía de la tierra para dar vida a sus más altas aspiraciones.",es,0,159,0,159,0.0,[],[]
17,"En el abismo de tus emociones, un reflejo de oro emerge, iluminando las profundidades de tu alma. La sabiduría de los sentimientos fluye como un río, llevando consigo la verdad de tu ser. Conecta con la intuición que guía tus pasos y permite que la empatía te revele los secretos de los corazones que te rodean. Sumérgete en el flujo de tus emociones, y descubre la fuerza que te hace único.",es,0,70,1,71,0.0,[],['sumérgete']
18,"La llama ardiente del corazón, que late con fuerza y pasión, llama a la acción. La voluntad se enciende como un fuego que consume lo viejo y obsoleto, dejando espacio para la creación y el cambio. La energía purificadora del fuego limpia el camino hacia la manifestación de los deseos más profundos y auténticos. La chispa divina dentro de cada ser humano llama a la transformación y al crecimiento personal, invocando la determinación y la inspiración para reinventarse y dar forma a un futuro más brillante.",es,0,85,1,86,0.0,[],['reinventarse']
19,"En el corazón de la tierra, donde las raíces se entrelazan con la oscuridad, se encuentra el secreto de la manifestación. Allí, donde la energía se concentra y se fortalece, se gesta la vida. La materia prima, rica y fértil, espera ser cultivada y nutrida para dar fruto. La creación es un proceso lento y paciente, que requiere tiempo y cuidado. Pero cuando se alcanza la madurez, la belleza y la abundancia florecen. La tierra nos recuerda que todo tiene un tiempo y un lugar, y que la paciencia y la perseverancia son las herramientas más poderosas para lograr la realización.",es,0,101,0,101,0.0,[],[]
20,"La llama ardiente del corazón, que late con fuerza y pasión, llama a la acción. La voluntad se enciende como un fuego que consume lo viejo y obsoleto, dejando espacio para la creación y el cambio. La energía interior se manifiesta en cada movimiento y decisión, y es hora de reconocer y canalizarla adecuadamente. Los deseos auténticos deben ser alineados con un propósito superior, y la fuerza interior debe ser usada consciente y deliberadamente para fomentar el crecimiento personal y la transformación.",es,0,80,2,82,0.0,[],"['canalizarla', 'adecuadamente']"
21,"En el corazón de la tierra, donde las raíces se entrelazan con la oscuridad, se encuentra el origen de todo crecimiento. La fuerza que surge de este lugar profundo es la que nutre y sostiene la vida, la que permite que las ideas y los sueños se conviertan en realidad tangible. En este momento, te invito a explorar las profundidades de tu ser, a conectar con la fuente de tu propia energía vital y a permitir que fluya hacia la superficie, donde puede manifestarse en formas concretas y tangibles. Recuerda que la tierra es un lugar de estabilidad y solidez, pero también de transformación y cambio. Deja que la sabiduría de la tierra guíe tus pasos hacia una vida más equilibrada y sostenible, donde tus aspiraciones espirituales y tus prácticas diarias se alineen en armonía perfecta.",es,0,135,1,136,0.0,[],['manifestarse']
22,"En las profundidades del alma, un río de sentimientos fluye sin cesar, llevando consigo la sabiduría de los tiempos pasados y la intuición de los momentos presentes. Es un torrente que no puede ser detenido, un flujo constante que nos conecta con nuestra verdadera naturaleza y nos guía hacia la comprensión de nosotros mismos y de los demás. Al sumergirse en este río, podemos descubrir las emociones que nos han estado escondidas, las verdades olvidadas y los secretos internos que nos han sido negados. Es un viaje hacia la autenticidad, hacia la conexión con nuestra esencia más profunda y hacia la empatía con los seres que nos rodean. Al permitir que este río fluya libremente, podemos encontrar paz, sabiduría y un camino hacia la iluminación.",es,0,124,1,125,0.0,[],['sumergirse']
23,"En el corazón de la tierra, donde las raíces se entrelazan con la oscuridad y la luz, se encuentra la fuerza que sostiene el universo. Es la energía que fluye a través de cada ser, la que hace que las ideas se materialicen en formas tangibles y que las emociones se conviertan en acciones. Es la fuerza que nutre y sostiene la vida, que proporciona un terreno fértil para el crecimiento y la realización personal. En este momento, te invito a conectar con esta fuerza interior, a sentir su poderoso flujo a través de ti y a dejar que guíe tus pasos hacia la manifestación de tus sueños más profundos.",es,0,110,0,110,0.0,[],[]
