Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
10,"The Page of Wands dances upon the waves of emotion, their fiery spirit igniting the depths of the heart. They are a beacon of passion and creativity, inviting us to embrace the wild currents of feeling that surge through our veins. With each step, they leave a trail of inspiration, awakening the dormant embers within us. The Page reminds us that emotions are not to be feared, but celebrated as the lifeblood of our souls. They urge us to dive into the unknown waters of our psyche, to explore the hidden caves of desire and fear that shape our destiny. As we swim alongside them, we discover the courage to trust our instincts and let our authentic voice rise above the crashing waves of doubt. The Page of Wands whispers secrets of transformation, inviting us to ride the crest of our emotions towards a shore of self-discovery and fulfillment.",en,128,22,0,150,0.147,"['dances', 'are', 'a', 'to', 'embrace', 'surge', 'a', 'are', 'to', 'be', 'as', 'urge', 'to', 'to', 'explore', 'caves', 'as', 'to', 'trust', 'rise', 'to', 'a']",[]
11,"The Strength card invites you to embrace your inner power and resilience. Like the lion tamed by the gentle touch of the maiden, you too possess the ability to transmute your energy into compassionate action. Trust in your innate strength and let it guide you towards harmony with yourself and the world around you. Remember that true power lies not in domination but in the capacity to hold space for both your light and shadow aspects. As you walk the earthly plane, ground yourself in the present moment and allow your essence to infuse your actions with purpose and grace.",en,87,13,0,100,0.13,"['invites', 'to', 'embrace', 'too', 'to', 'transmute', 'trust', 'true', 'to', 'light', 'as', 'plane', 'to']",[]
12,"El Emperador representa la fuerza, la estabilidad y la capacidad de liderazgo. Su presencia en la lectura sugiere que el buscador tiene la fortaleza interior necesaria para enfrentar los desafíos emocionales que se avecinan. El Emperador invita a confiar en la propia voz y a expresar los sentimientos con claridad y determinación. Al mismo tiempo, esta carta advierte sobre el peligro de caer en la arrogancia o el autoritarismo emocional. El verdadero poder radica en la capacidad de escuchar, entender y responder con empatía a las necesidades propias y ajenas. El Emperador desafía al buscador a ser un líder emocional, guiando a sí mismo y a los demás hacia la armonía y el equilibrio. La fusión de Agua y Emperador en esta lectura sugiere que el camino hacia la sabiduría pasa por sumergirse en las profundidades del propio corazón, explorando los sentimientos más ocultos y expresándolos con voz firme y clara. El desafío es encontrar el equilibrio entre la fuerza y la sensibilidad, entre la capacidad de liderazgo y la empatía. Solo desde ese lugar de poder emocional genuino, el buscador podrá enfrentar los desafíos que se avecinan con confianza y determinación.",es,0,190,2,192,0.0,[],"['sumergirse', 'expresándolos']"
13,"El viento susurra secretos en el oído de la mente, trayendo consigo la sabiduría de las alturas. Las ideas danzan en el aire, buscando su camino hacia la comprensión. La respiración es el hilo que conecta lo terrenal con lo celestial, permitiendo que las inspiraciones divinas penetren en el corazón. Cada inspiración es una oportunidad para expandir la conciencia, para permitir que la luz de la verdad ilumine el camino. El aire es el mensajero que lleva las palabras del espíritu, susurrando en los oídos de aquellos que están dispuestos a escuchar. La comunicación es el arte de compartir el aliento de la vida, de permitir que las ideas fluyan libremente entre los corazones. En el intercambio de pensamientos y palabras, se encuentra la semilla del entendimiento mutuo y la armonía entre los seres.",es,0,134,0,134,0.0,[],[]
14,"La semilla brota de la tierra fértil, alimentada por la lluvia y el sol. Lentamente, el tallo se alza hacia el cielo, buscando la luz. Las hojas se desenvuelven, verdes y llenas de vida. El crecimiento es constante, día tras día, mes tras mes. Hasta que llega el momento de la floración, cuando la planta alcanza su máximo esplendor. Pero la belleza es efímera, y pronto las flores se marchitan y caen. Las hojas se secan y el viento las lleva lejos. La planta muere y vuelve a la tierra que la nutrió. Pero en su muerte hay renacimiento, porque la tierra espera pacientemente la siguiente estación, lista para recibir una nueva semilla y comenzar el ciclo una vez más.",es,0,118,2,120,0.0,[],"['tras', 'tras']"
15,"La abundancia se manifiesta en formas tangibles, como monedas que tintinean en las manos y recursos que nutren el espíritu. El éxito material es alcanzado cuando las ideas cristalizan en acciones concretas, cuando el trabajo duro y la persistencia dan frutos visibles. Sin embargo, la verdadera riqueza radica en el equilibrio entre lo físico y lo intangible, entre lo material y lo trascendente. La carta de la Tierra nos recuerda que la abundancia es un viaje continuo, donde cada paso nos acerca más a la armonía entre el mundo exterior y el interior.",es,0,93,0,93,0.0,[],[]
16,"La Reina de Espadas emerge como una figura poderosa y decidida, su presencia irradiando una energía firme y resuelta. Ella representa la capacidad de enfrentar los desafíos con determinación y persistencia, sin temor a las adversidades que puedan cruzarse en su camino. La Reina de Espadas es una maestra en el arte de la estrategia y la organización, capaz de mantener la calma en medio del caos y de encontrar soluciones creativas ante cualquier obstáculo. Su inteligencia aguda y su espíritu emprendedor la hacen una aliada valiosa en cualquier empresa o proyecto que emprenda. Sin embargo, es importante recordar que su poder radica en su capacidad de liderazgo y no en su deseo de dominar o controlar a los demás. La Reina de Espadas invita a confiar en su propio juicio y a tomar decisiones con sabiduría y discernimiento, siempre guiada por sus valores y principios. Ella representa la fuerza y la determinación necesarias para enfrentar los desafíos de la vida con coraje y resolución, sin perder de vista su propósito y su camino hacia la realización personal.",es,0,178,0,178,0.0,[],[]
17,"El corazón es un océano de emociones, donde las olas de la alegría y la tristeza se entrelazan en una danza eterna. Sumergirse en sus profundidades requiere valentía y vulnerabilidad, pero es allí donde se encuentra la sabiduría que guía el camino hacia la autenticidad. Las emociones son como estrellas en el firmamento de la noche, brillando con intensidad y revelando la belleza de la existencia. Aprender a navegar por las aguas turbulentas del corazón es el viaje más importante que uno puede emprender, ya que es allí donde se encuentra el tesoro de la verdadera felicidad.",es,0,96,1,97,0.0,[],['sumergirse']
18,"La energía del Fuego arde con intensidad en tu interior, impulsándote hacia nuevas fronteras. Es hora de dejar atrás lo que ya no sirve y abrazar la transformación. Permite que la chispa divina que habita en ti se manifieste en acciones audaces y creativas. Purifica tus deseos y alinea tus esfuerzos con un propósito superior que dé sentido a tu existencia. El poder está dentro de ti, solo espera ser despertado. ¿Qué nuevas formas de expresarte y crear están llamando a tu puerta?",es,0,81,2,83,0.0,[],"['impulsándote', 'expresarte']"
19,"La abundancia se manifiesta en formas tangibles, nutriendo el espíritu con su presencia palpable. Las copas rebosan de prosperidad, invitando a beber profundamente de su contenido. El cuerpo físico se vuelve un templo donde la energía fluye libremente, revitalizando cada fibra de nuestro ser. El entorno material se alinea con nuestros sueños, proporcionando un escenario fértil para el crecimiento y la realización personal. La conexión con la tierra se profundiza, infundiendo fuerza y estabilidad en cada paso que damos hacia adelante.",es,0,81,0,81,0.0,[],[]
20,"La voluntad arde con intensidad, consumiendo todo lo que se interpone en su camino. El impulso es como una fuerza divina que guía tus pasos hacia la meta deseada. Pero ten cuidado, pues el fuego también puede quemar si no se maneja con destreza. Canaliza tu energía hacia acciones constructivas que purifiquen lo viejo y den paso a nuevas creaciones. Reconocer y dirigir adecuadamente este poder interior es clave para tu crecimiento y transformación personal. Déjate llevar por la pasión, pero siempre con un propósito superior que ilumine tu camino.",es,1,87,2,90,0.011,['si'],"['adecuadamente', 'déjate']"
21,El As de Copas anuncia la llegada de nuevas oportunidades de amor y afecto en tu vida. Este naipe representa la capacidad de abrir tu corazón y entregarte a las relaciones con sinceridad y vulnerabilidad. Es hora de dejar atrás los temores y las defensas que te impiden conectar de manera genuina con los demás. Confía en que el universo está conspirando a tu favor para atraer a tu camino a las personas que te mereces y te apoyarán en tu crecimiento personal. Recuerda que el amor verdadero siempre te hará sentir seguro y respetado en tu individualidad. Este es el momento de cultivar tu propio jardín interior y alimentar las semillas de la compasión y el perdón hacia ti mismo y los demás. El As de Copas te invita a celebrar la belleza de la vida en todas sus formas y a compartir tu luz con el mundo.,es,0,148,1,149,0.0,[],['entregarte']
22,"El agua fluye silenciosa por las profundidades del alma, reflejando en su superficie las emociones que laten en su interior. Sumergirse en sus aguas es un viaje hacia lo desconocido, donde los sentimientos más ocultos emergen para ser vistos y comprendidos. El corazón se abre como una flor bajo el sol, revelando su belleza y fragilidad. Las olas del océano de la empatía nos acercan a otros, creando puentes de comprensión entre las almas. El agua es el espejo del espíritu, reflejando la verdad que habita en el fondo de cada uno. Nadar en sus aguas es encontrar el camino hacia la sabiduría intuitiva que guía el camino hacia la iluminación.",es,0,110,1,111,0.0,[],['sumergirse']
23,"La fuerza de la voluntad se manifiesta en el plano físico, donde las ideas toman forma tangible. El espíritu se materializa en acciones concretas, dando vida a sueños y deseos. La energía vital fluye a través del cuerpo, nutriendo cada célula con propósito y determinación. El terreno fértil del ser se abre a nuevas posibilidades, invitando al crecimiento y la transformación. La conexión con la tierra se profundiza, revelando la fuente de fuerza que habita en el corazón de la existencia.",es,0,81,0,81,0.0,[],[]
